compound_id,canonical_smiles,target,protein_id,organism,activity_type,activity_value,unit,dataset_layer,data_source,reference,label_confidence
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
CHEMBL2409662,Nc1nc(/C(=N/OCCCC(=O)O)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409661,Nc1nc(/C(=N/OC2(C(=O)O)CCCCC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409660,Nc1nc(/C(=N/OC2(C(=O)O)CCCC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409772,Nc1nc(/C(=N/OC2(C(=O)O)CCC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409771,Nc1nc(/C(=N/O[C@@H](Cc2ccccc2)C(=O)O)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409770,CC(C)C[C@H](O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CNC(=O)NCc1cc(=O)c(O)cn1O)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409769,Nc1nc(/C(=N/OCC(=O)O)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CNC(=O)NCc2cc(=O)c(O)cn2O)cs1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409768,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CNc1cc(C(=O)NCc2cc(=O)c(O)cn2O)ccn1)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409767,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1Cn1cc(COCc2cc(=O)c(O)cn2O)nn1)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409766,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1Cn1cc(-c2cc(=O)c(O)cn2O)nn1)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409765,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CNS(=O)(=O)NCc1cc(=O)c(O)cn1O)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409774,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)[O-])[C@@H]1CNC(=O)OCc1cc(=O)c(O)cn1O)c1csc(N)n1)C(=O)[O-].[Na+].[Na+],whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2407118,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CNC(=O)NCc1cc(=O)c(O)cn1O)c1csc(N)n1)C(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL2409773,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)[O-])[C@@H]1CNC(=O)c1cc(-c2cc(=O)c(O)cn2O)no1)c1csc(N)n1)C(=O)[O-].[Na+].[Na+],whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.06,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/jm400560z | year=2013 | title=Pyridone-conjugated monobactam antibiotics with gram-negative activity. | assay_note=Antibacterial activity against Acinetobacter baumannii AB-3167 by broth microdilution method,medium_source_traceable_unverified
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL2426033,CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]2(C)CC[C@H]([C@]3(C)CC[C@H](C(C)(C)O)O3)[C@@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,128.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL2426032,CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](OC(=O)/C=C/c2ccccc2)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)O1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,32.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL2426029,CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]2(C)CC[C@H]([C@]3(C)CC[C@@H](C(C)(C)O)O3)[C@@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,64.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL2426036,CC(C)(O)[C@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)O1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,128.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL375563,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,64.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.ejmech.2013.07.041 | year=2013 | title=Synthesis and biological evaluation of novel ocotillol-type triterpenoid derivatives as antibacterial agents. | assay_note=Antibacterial activity against Acinetobacter baumannii by dilution technique,medium_source_traceable_unverified
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,16.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,8.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,16.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL1440,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,64.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL3093088,O/N=C/c1n(Cc2ccccc2)cc[n+]1-c1ccc(F)cc1.[Br-],whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.78,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.09.041 | year=2013 | title=Synthesis and antimicrobial profile of N-substituted imidazolium oximes and their monoquaternary salts against multidrug resistant bacteria. | assay_note=Antibacterial activity against SIM-1 expressing Acinetobacter baumannii isolate 170 after 18 to 24 hrs by two-fold broth microdilution assay,medium_source_traceable_unverified
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1021/np4006025 | year=2013 | title=Cytotoxic and antibacterial marfuraquinocins from the deep South China Sea-derived Streptomyces niveus SCSIO 3406. | assay_note=Antibacterial activity against Acinetobacter baumannii ATCC 19606 by broth microdilution method,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094498,Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094497,Clc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Cl)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.25,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094496,Fc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3F)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094493,O=C(O)C(F)(F)F.c1cc2cc(CCc3cc4ccc(C5=NCCCN5)cc4[nH]3)[nH]c2cc1C1=NCCCN1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,80.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094490,CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)nc3)[nH]c2cc1C1=NCCCN1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,20.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094488,CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)s3)[nH]c2cc1C1=NCCCN1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,5.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094514,O=C(O)C(F)(F)F.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCN6)cc5[nH]4)s3)[nH]c2cc1C1=NCCN1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,10.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094512,C(=C\Cc1cc2ccc(C3=NCCCN3)cc2[nH]1)/Cc1cc2ccc(C3=NCCCN3)cc2[nH]1.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,20.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3091494,Cl.N=C(N)c1ccc2cc(-c3ccc(-c4cc5ccc(C(=N)N)cc5[nH]4)cc3)[nH]c2c1,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,40.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094505,FC1CN=C(c2ccc3cc(-c4ccc(-c5cc6ccc(C7=NCC(F)CN7)cc6[nH]5)cc4)[nH]c3c2)NC1.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,40.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
CHEMBL3094502,CC1CN=C(c2ccc3cc(-c4ccc(-c5cc6ccc(C7=NCC(C)CN7)cc6[nH]5)cc4)[nH]c3c2)NC1.O=C(O)C(F)(F)F,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,40.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1016/j.bmc.2013.10.014 | year=2013 | title=Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | assay_note=Antimicrobial activity against Acinetobacter baumannii ATCC 19606 after 16 to 20 hrs by broth microdilution method,medium_source_traceable_unverified
